Username: johndoe, Password: password1
Username: janesmith, Password: password2
Username: michaeljohnson, Password: password3
Username: emilybrown, Password: password4
Username: davidwilson, Password: password5
Username: sarahtaylor, Password: password6
Username: christophermartinez, Password: password7
Username: jessicawhite, Password: password8
Username: danielanderson, Password: password9
Username: mariagarcia, Password: password10

 { "Username": "johndoe", "Password": "password1" }
  { "Username": "janesmith", "Password": "password2" }
  { "Username": "michaeljohnson", "Password": "password3" }
  { "Username": "emilybrown", "Password": "password4" }
  { "Username": "davidwilson", "Password": "password5" }
  { "Username": "sarahtaylor", "Password": "password6" }
  { "Username": "christophermartinez", "Password": "password7" }
  { "Username": "jessicawhite", "Password": "password8" }
  { "Username": "danielanderson", "Password": "password9" }
  { "Username": "mariagarcia", "Password": "password10" }
